,has_media,hashtags,img_urls,is_replied,is_reply_to,likes,links,parent_tweet_id,replies,reply_to_users,retweets,screen_name,text,text_html,timestamp,timestamp_epochs,tweet_id,tweet_url,user_id,username,video_url
0,False,['McDonalds'],[],False,False,0,[],,0,[],0,Teresathotel,RT @Ludovic_Freitas: La pub gay-friendly de #McDonalds France étonne même les médias américains http://bit.ly/atDLKC,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""fr"">RT <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""14371100"" dir=""ltr"" href=""/Ludovic_Freitas""><s>@</s><b>Ludovic_Freitas</b></a>: La pub gay-friendly de <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/McDonalds?src=hash""><s>#</s><b>McDonalds</b></a> France étonne même les médias américains http://bit.ly/atDLKC</p>",2010-06-02 09:57:35,1275472655,15241185802,/Teresathotel/status/15241185802,20229187,Teresa Sousa,
1,False,['McDonalds'],[],False,False,0,[],,0,[],0,sebastiendurand,La pub gay-friendly de #McDonalds France étonne même les médias américains http://bit.ly/atDLKC (via @carolinedeleuze),"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""fr"">La pub gay-friendly de <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/McDonalds?src=hash""><s>#</s><b>McDonalds</b></a> France étonne même les médias américains http://bit.ly/atDLKC (via <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""92791635"" dir=""ltr"" href=""/carolinedeleuze""><s>@</s><b>carolinedeleuze</b></a>)</p>",2010-06-02 09:21:08,1275470468,15239879102,/sebastiendurand/status/15239879102,15721139,Sébastien Durand,
2,False,[],[],False,False,0,[],,0,[],1,richardogawa,"Hey McDonalds France, C’est ça que j’M (I'm Lovin' It) http://www.youtube.com/watch?v=SBuKuA9nHsw","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""fr"">Hey <strong>McDonalds France</strong>, C’est ça que j’M (I'm Lovin' It) http://www.youtube.com/watch?v=SBuKuA9nHsw</p>",2010-06-01 14:17:19,1275401839,15180669924,/richardogawa/status/15180669924,30805840,H Richard Ogawa TTJ,
3,False,['McDonalds'],[],False,False,0,[],,0,[],0,sebastiendurand,Le nouveau logo #McDonalds France n'est pas vert pour faire écolo mais  pour mieux s'intégrer dans le tissu urbain http://bit.ly/7N5vr4,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""fr"">Le nouveau logo <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/McDonalds?src=hash""><s>#</s><b>McDonalds</b></a> France n'est pas vert pour faire écolo mais  pour mieux s'intégrer dans le tissu urbain http://bit.ly/7N5vr4</p>",2010-01-10 00:13:17,1263082397,7574276873,/sebastiendurand/status/7574276873,15721139,Sébastien Durand,
4,False,['McDonalds'],[],False,False,0,[],,0,[],0,Teresathotel,RT @Ludovic_Freitas: La pub gay-friendly de #McDonalds France étonne même les médias américains http://bit.ly/atDLKC,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""fr"">RT <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""14371100"" dir=""ltr"" href=""/Ludovic_Freitas""><s>@</s><b>Ludovic_Freitas</b></a>: La pub gay-friendly de <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/McDonalds?src=hash""><s>#</s><b>McDonalds</b></a> France étonne même les médias américains http://bit.ly/atDLKC</p>",2010-06-02 09:57:35,1275472655,15241185802,/Teresathotel/status/15241185802,20229187,Teresa Sousa,
5,False,['McDonalds'],[],False,False,0,[],,0,[],0,sebastiendurand,La pub gay-friendly de #McDonalds France étonne même les médias américains http://bit.ly/atDLKC (via @carolinedeleuze),"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""fr"">La pub gay-friendly de <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/McDonalds?src=hash""><s>#</s><b>McDonalds</b></a> France étonne même les médias américains http://bit.ly/atDLKC (via <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""92791635"" dir=""ltr"" href=""/carolinedeleuze""><s>@</s><b>carolinedeleuze</b></a>)</p>",2010-06-02 09:21:08,1275470468,15239879102,/sebastiendurand/status/15239879102,15721139,Sébastien Durand,
6,False,[],[],False,False,0,[],,0,[],1,richardogawa,"Hey McDonalds France, C’est ça que j’M (I'm Lovin' It) http://www.youtube.com/watch?v=SBuKuA9nHsw","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""fr"">Hey <strong>McDonalds France</strong>, C’est ça que j’M (I'm Lovin' It) http://www.youtube.com/watch?v=SBuKuA9nHsw</p>",2010-06-01 14:17:19,1275401839,15180669924,/richardogawa/status/15180669924,30805840,H Richard Ogawa TTJ,
7,False,['McDonalds'],[],False,False,0,[],,0,[],0,sebastiendurand,Le nouveau logo #McDonalds France n'est pas vert pour faire écolo mais  pour mieux s'intégrer dans le tissu urbain http://bit.ly/7N5vr4,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""fr"">Le nouveau logo <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/McDonalds?src=hash""><s>#</s><b>McDonalds</b></a> France n'est pas vert pour faire écolo mais  pour mieux s'intégrer dans le tissu urbain http://bit.ly/7N5vr4</p>",2010-01-10 00:13:17,1263082397,7574276873,/sebastiendurand/status/7574276873,15721139,Sébastien Durand,
8,False,[],[],True,False,0,[],,1,[],0,HabibaY,F McDonalds france l orders 3ala touch screen !!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""fr"">F <strong>McDonalds france</strong> l orders 3ala touch screen !!</p>",2011-07-04 13:25:09,1309785909,87874587949412352,/HabibaY/status/87874587949412352,97003422,Habiba Youssef,
9,False,[],[],False,False,0,[],,0,[],0,cstechcast,"The Comté Burger at McDonalds, France http://ff.im/GQQJe","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""fr"">The Comté Burger at <strong>McDonalds, France</strong> http://ff.im/GQQJe</p>",2011-06-29 04:26:25,1309321585,85927072387694592,/cstechcast/status/85927072387694592,14095473,Eric Beehler,
